Код;SchoolName;Type;Level;Organization;Spec;Subject;ShortNameSchool;City;CityType;Region;Address
296;"муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №16""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №16 г. Северодвинск;Северодвинск;город;;164500, Архангельская область, г. Северодвинск, ул. Тургенева, д. 8
297;"муниципальное бюджетное образовательное учреждение ""Общеобразовательный лицей №17""";МБОУ;СОО;лицей;спец;физико-математический;Общеобразовательный лицей №17 г. Северодвинск;Северодвинск;город;;164504, Архангельская область, г. Северодвинск, ул. Капитана Воронина, д. 24
298;"Муниципальное бюджетное образовательное учреждение  ""Средняя общеобразовательная школа №19""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №19 г. Северодвинск;Северодвинск;город;;164524, Архангельская область, г. Северодвинск, ул. Октябрьская, д. 31
299;"Муниципальное бюджетное  образовательное учреждение ""Средняя общеобразовательная школа №20 с углубленным изучением социально-экономических дисциплин""";МБОУ;СОО;школа;спец;социально-экономическая;Средняя общеобразовательная школа №20 с углубленным изучением социально-экономических дисциплин г. Северодвинск;Северодвинск;город;;164500, Архангельская область, г. Северодвинск, просп. Труда, д. 7б
300;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №21""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №21 г. Северодвинск;Северодвинск;город;;164500,Архангельская область, г. Северодвинск, ул. Серго Орджоникидзе, д. 15
301;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа №22""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №22 г. Северодвинск;Северодвинск;город;;164512, Архангельская область, г. Северодвинск, ул. К. Маркса, д. 33
302;"Муниципальное бюджетное  образовательное учреждение ""Средняя общеобразовательная школа № 23""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 23 г. Северодвинск;Северодвинск;город;;164500, Архангельская область, г. Северодвинск, просп. Труда, д. 14а
303;"Муниципальное бюджетное образовательное учреждение  ""Средняя общеобразовательная школа №24""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа №24 г. Северодвинск;Северодвинск;город;;164524, Архангельская область, г. Северодвинск, ул. Дзержинского, д. 11а
304;"Муниципальное бюджетное образовательное учреждение ""Средняя общеобразовательная школа № 25""";МБОУ;СОО;школа;;;Средняя общеобразовательная школа № 25;Северодвинск;город;;164500, Архангельская область, г. Северодвинск, просп. Морской, д. 12а
305;"Муниципальное бюджетное образовательное учреждение ""Лингвистическая гимназия №27""";МБОУ;СОО;гимназия;спец;ин.яз.;Лингвистическая гимназия №27 г. Северодвинск;Северодвинск;город;;164514, Архангельская область, г. Северодвинск, ул. Арктическая, д. 16
